272940631 75348088914583552  189.0 100.0%
251960562 525693725574324224  194.0 90.206185567%
395095116 527236291952644096  198.0 97.9797979798%
439133266 527444382383738881  200.0 99.5%
436477643 527361296878936064  199.0 81.9095477387%
858433298 527398886164279296  200.0 98.5%
943225142 527194152727887872  200.0 99.5%
887362788 511950174118490112  199.0 82.4120603015%
515651044 526102723595616256  182.0 86.8131868132%
825424632 527133222157950976  196.0 91.3265306122%
2438749177 526597460672528384  180.0 92.7777777778%
304700596 432701838560071681  198.0 93.9393939394%
308075802 507178583417040896  200.0 88.5%
463206508 526868820972294144  197.0 98.4771573604%
271982169 91576067776724992  200.0 99.5%
238910696 526347924452564992  199.0 59.2964824121%
429108131 516318070730543104  190.0 88.9473684211%
999504168 527418730779668482  200.0 99.5%
112388755 526120895723470849  197.0 51.7766497462%
323371109 527235437312499712  198.0 97.4747474747%
376670516 519888739556786176  198.0 95.9595959596%
2484161535 523798374622195712  196.0 77.5510204082%
138157566 527416616469164033  200.0 99.5%
361926237 369885886478970880  200.0 96.0%
718801946 526088977879552000  199.0 96.9849246231%
348250735 527424029838163970  200.0 88.5%
109598710 526866693830623232  199.0 90.4522613065%
2254615357 525965896603299840  200.0 100.0%
2187102662 527412724603441152  200.0 95.5%
599623000 527405811597709314  200.0 97.5%
314864050 404013488357785600  196.0 87.2448979592%
277529424 526220823145639936  187.0 76.4705882353%
578526776 470836072948039680  200.0 99.0%
190134007 525858794278903808  187.0 94.1176470588%
253866985 526967450076975104  200.0 100.0%
398361166 525352645922652162  200.0 87.5%
73529539 526021363673612288  194.0 96.3917525773%
152745726 527404728305467394  200.0 91.5%
270825221 526724455897112576  192.0 86.4583333333%
1040463757 527407027929489409  200.0 99.5%
367755229 527453732233945089  200.0 83.5%
1026188600 527371871029690369  200.0 100.0%
2308543949 527455110217990144  199.0 95.4773869347%
492887902 481050795433947136  197.0 100.0%
272677691 525791419189821440  199.0 95.9798994975%
316000415 526842990795304960  197.0 99.4923857868%
436860668 465241962853855232  193.0 87.0466321244%
479502872 527199305396801537  195.0 97.4358974359%
110402386 527168945372270592  199.0 70.8542713568%
176744352 527434781143752704  199.0 71.8592964824%
377973259 517074654507180033  162.0 98.7654320988%
712363580 527320995741179905  200.0 90.0%
207774700 526858062124953601  200.0 88.0%
811659254 527189024595660801  200.0 96.5%
1567700652 425783449837142016  158.0 99.3670886076%
250250806 296857519735848961  174.0 98.275862069%
392606405 527400964978786304  199.0 89.4472361809%
484813469 526234999184310272  200.0 83.5%
351934361 527268485974327297  199.0 87.4371859296%
559652237 527147114653319169  200.0 96.0%
432390628 527039388921118720  200.0 95.0%
244187079 527067481915936768  176.0 100.0%
450048155 520925339758129152  197.0 87.3096446701%
436655676 514175010433662977  198.0 48.4848484848%
249697597 100573990258610177  200.0 98.5%
445458780 287757127412502529  194.0 94.3298969072%
468549848 223582475870404608  200.0 96.5%
389555775 527420491477180417  200.0 96.0%
